,smiles_string,prop,value
190,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_CO2,-6.337242168
191,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_H2,-6.714442691
192,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_He,-7.080921908
193,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_N2,-7.30980392
194,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_O2,-7.013228266
195,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_CH4,-8.356547324
196,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_CO2,-7.638272164
197,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_H2,-7.602059991
198,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_He,-7.823908741
199,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_N2,-8.677780705
200,[*]/C(C)=C(/[*])[Si](C)(C)CCC,p_exp_O2,-8.15490196
201,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_CH4,-8.769551079
202,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_CO2,-8
203,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_H2,-8.187086643
204,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_He,-8.207608311
205,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_N2,-9.096910013
206,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,p_exp_O2,-8.537602002
207,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_CH4,-8.886056648
208,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_CO2,-8
209,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_H2,-8.327902142
210,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_He,-8.431798276
211,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_N2,-8.721246399
212,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,p_exp_O2,-8.638272164
213,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_CH4,-9.769551079
214,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_CO2,-8.424812155
215,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_H2,-8.853871964
216,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_He,-9.080921908
217,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_N2,-9.920818754
218,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,p_exp_O2,-9.356547324
219,[*]/C(C)=C(/[*])c1ccccc1,p_exp_CH4,-9.552841969
220,[*]/C(C)=C(/[*])c1ccccc1,p_exp_CO2,-7.844663963
221,[*]/C(C)=C(/[*])c1ccccc1,p_exp_H2,-7.790484985
222,[*]/C(C)=C(/[*])c1ccccc1,p_exp_He,-8.522878745
223,[*]/C(C)=C(/[*])c1ccccc1,p_exp_N2,-8.935542011
